Time,XS,YS,ZS,DXS,DYS,DZS,DDXS,DDYS,DDZS
#sec,km,km,km,m/s,m/s,m/s,m/s2,m/s2,m/s2
#Guidance reference release,,,,,,,,,
594,-109323,41729,1902225,-1958.6,210.1,6434.1,-8.98,0.47,3.09
596,-113258,42151,1915099,-1976.6,211.1,6440.2,-9.01,0.48,3.08
598,-117229,42574,1927985,-1994.6,212.0,6446.4,-9.01,0.49,3.07
600,-121236,42999,1940894,-2012.6,213.0,6452.5,-9.02,0.49,3.06
602,-125279,43426,1953795,-2030.7,214.0,6458.6,-9.03,0.50,3.06
604,-129358,43855,1966719,-2048.8,215.0,6464.8,-9.05,0.50,3.07
606,-133474,44286,1979654,-2066.9,216.0,6470.9,-9.05,0.50,3.06
608,-137626,44719,1992602,-2085.0,217.0,6477.0,-9.06,0.50,3.06
610,-141814,45164,2005563,-2103.1,218.0,6483.1,-9.07,0.49,3.05
612,-146039,45591,2018535,-2121.2,219.0,6489.2,-9.08,0.49,3.05
614,-150295,46030,2031519,-2139.4,220.0,6495.3,-9.09,0.49,3.04
616,-154516,46471,2044514,-2157.6,220.9,6501.4,-9.09,0.49,3.03
618,-158930,46913,2057525,-2175.8,221.9,6507.4,-9.10,0.49,3.04
620,-163300,47356,2070546,-2194.0,222.9,6513.5,-9.11,0.49,3.04
622,-167705,47805,2083579,-2212.2,223.9,6519.6,-9.11,0.49,3.04
624,-172146,48254,2096624,-2230.4,224.9,6525.7,-9.11,0.50,3.04
626,-176628,48705,2109682,-2248.7,225.9,6531.8,-9.12,0.49,3.04
628,-181143,49157,2122751,-2266.9,226.9,6537.8,-9.13,0.49,3.03
630,-185695,49612,2135833,-2285.2,227.8,6543.9,-9.15,0.49,3.02
632,-190284,50069,2148927,-2303.5,228.8,6549.9,-9.16,0.49,3.01
634,-194910,50527,2162031,-2321.9,229.8,6555.9,-9.17,0.48,3.01
636,-199572,50988,2175151,-2340.2,230.8,6561.9,-9.17,0.48,3.01
638,-204270,51450,2188281,-2358.6,231.7,6568.0,-9.17,0.49,3.00
640,-209006,51915,2201427,-2376.9,232.7,6574.0,-9.18,0.48,3.00
642,-213778,52381,2214576,-2395.3,233.6,6580.0,-9.17,0.48,3.00
644,-218587,52847,2227742,-2413.6,234.6,6586.0,-9.18,0.48,3.00
646,-223432,53320,2240920,-2432.0,235.6,6592.0,-9.18,0.48,3.01
648,-228315,53792,2254110,-2450.3,236.5,6598.0,-9.19,0.48,3.02
650,-233234,54266,2267312,-2468.7,237.5,6604.0,-9.20,0.48,3.01
652,-238190,54741,2280526,-2487.2,238.4,6610.0,-9.21,0.47,3.00
654,-243183,55219,2293752,-2505.6,239.4,6616.0,-9.22,0.47,2.99
656,-248212,55699,2306990,-2524.0,240.3,6622.0,-9.23,0.46,2.99
658,-253278,56180,2320241,-2542.5,241.2,6628.0,-9.24,0.46,2.99
660,-258382,56664,2333503,-2561.0,242.1,6634.0,-9.25,0.46,2.98
662,-263523,57149,2346776,-2579.5,243.0,6639.9,-9.25,0.46,2.97
664,-268700,57636,2360062,-2598.0,243.9,6645.9,-9.25,0.46,2.97
666,-273915,58125,2373360,-2616.5,244.9,6651.8,-9.25,0.46,2.98
668,-279166,58615,2386670,-2635.0,245.8,6657.8,-9.24,0.46,2.99
670,-284454,59108,2399991,-2653.4,246.7,6663.8,-9.24,0.46,2.98
672,-289790,59602,2413325,-2672.0,247.6,6669.7,-9.27,0.45,2.97
674,-295143,60098,2426670,-2690.6,248.5,6675.6,-9.32,0.44,2.95
676,-300542,60596,2440027,-2709.2,249.4,6681.5,-9.35,0.44,2.95
678,-305979,61096,2453396,-2727.9,250.3,6687.5,-9.33,0.44,2.96
680,-311454,61598,2466777,-2746.5,251.2,6693.4,-9.30,0.44,2.97
682,-316965,62101,2480170,-2765.1,252.1,6699.3,-9.30,0.44,2.96
684,-322514,62606,2493574,-2783.7,252.9,6705.2,-9.31,0.45,2.95
686,-328100,63113,2506991,-2802.4,253.8,6711.1,-9.32,0.45,2.95
688,-333724,63621,2520419,-2821.0,254.7,6717.0,-9.31,0.45,2.96
690,-339394,64131,2533859,-2839.6,255.6,6723.0,-9.29,0.45,2.98
692,-345082,64644,2547311,-2858.2,256.5,6729.0,-9.28,0.45,3.00
694,-350817,65158,2560775,-2876.7,257.4,6735.0,-9.27,0.44,3.01
696,-356583,65673,2574251,-2895.3,258.3,6741.0,-9.26,0.44,3.00
698,-362398,66191,2587739,-2913.8,259.1,6747.0,-9.25,0.44,3.00
700,-368244,66710,2601238,-2932.3,260.0,6753.0,-9.24,0.46,3.00
702,-374127,67231,2614751,-2950.7,260.9,6758.9,-9.23,0.44,3.00
#S-IVB first guidance cutoff,,,,,,,,,
702.65,-376047,67400,2619145,-2956.7,261.1,6760.9,-9.23,0.40,3.00
704,-380046,67753,2628268,-2967.5,261.7,6757.9,-7.68,0.38,-3.14
706,-385996,68277,2641778,-2982.8,262.4,6751.3,-7.63,0.36,-3.38
708,-391977,68803,2655274,-2999.0,263.1,6744.5,-7.62,0.36,-3.40
710,-397988,69330,2668756,-3013.3,263.8,6737.7,-7.62,0.32,-3.41
712,-404030,69858,2682225,-3028.5,264.5,6730.9,-7.61,0.39,-3.40
#Parking orbit insertion,,,,,,,,,
712.65,-406000,70030,2686599,-3033.4,264.8,6728.7,-7.60,0.38,-3.40
